,antecedents,consequents,antecedent support_before,consequent support_before,support_before,confidence_before,lift_before,leverage_before,conviction_before,antecedent support_dec,consequent support_dec,support_dec,confidence_dec,lift_dec,leverage_dec,conviction_dec
54,"frozenset({'num_children_at_home_(1.0, 2.0]'})",frozenset({'product_id_Better Canned Yams'}),0.09504247742437318,0.0006319960135636067,0.00011546081017027432,0.0012148337595907928,1.9222174404879009,5.5394343318861376e-05,1.0005835466582078,0.09506139154160982,0.0004911323328785812,0.00016371077762619373,0.0017221584385763492,3.5065059318790666,0.00011702305463167868,1.001233149785006
68,"frozenset({'num_children_at_home_(1.0, 2.0]'})",frozenset({'product_id_Gorilla 2% Milk'}),0.09504247742437318,0.0006866879762758419,0.00011546081017027432,0.0012148337595907928,1.769120476201254,5.0196283687489114e-05,1.0005287881730391,0.09506139154160982,0.0005457025920873125,0.00010914051841746248,0.001148105625717566,2.1039035591274398,5.7265270645779085e-05,1.0006030954509102
42,frozenset({'state_province_OR'}),frozenset({'product_id_Better Fancy Canned Clams'}),0.11737502886520254,0.0007778412474629006,0.00013976834915348997,0.0011907843644835621,1.5308835425834846,4.8469210279986863e-05,1.0004134354294658,0.12141882673942701,0.0006002728512960436,0.00016371077762619373,0.0013483146067415732,2.246169560776303,9.082635229829758e-05,1.000749051712811
82,frozenset({'occupation_Management'}),frozenset({'product_id_Ebony Almonds'}),0.14359678654334643,0.0006745342067842341,0.0001701527728825095,0.0011849344054168428,1.7566705935728362,7.329182837472834e-05,1.0005110057068762,0.14319236016371079,0.0004911323328785812,0.00016371077762619373,0.0011432926829268292,2.3278709349593494,9.338437972860044e-05,1.000652906813631
107,frozenset({'yearly_income_$70K - $90K'}),frozenset({'product_id_Super Extra Chunky Peanut Butter'}),0.12365852769236378,0.0007778412474629006,0.00014584523389929386,0.0011794191360754828,1.5162722983930415,4.965853045963999e-05,1.0004020520765253,0.11716234652114597,0.0004911323328785812,0.00016371077762619373,0.0013972985561248254,2.8450551156652697,0.00010616856105373459,1.0009074341797153
27,frozenset({'education_Partial College'}),frozenset({'product_id_Booker 1% Milk'}),0.09341387231249772,0.0007778412474629006,0.0001093839254244704,0.0011709601873536302,1.5053973946135835,3.672276245457707e-05,1.0003935798061743,0.09271487039563438,0.0009822646657571623,0.00016371077762619373,0.0017657445556209536,1.7976260545418876,7.26402364463073e-05,1.0007848657623106
2,frozenset({'education_Partial College'}),frozenset({'product_id_Horatio Chocolate Donuts'}),0.09341387231249772,0.0006988417457674498,0.0001093839254244704,0.0011709601873536302,1.6755727522655537,4.4102411818706854e-05,1.0004726719215882,0.09271487039563438,0.0008731241473396999,0.00010914051841746248,0.0011771630370806356,1.3482195409064155,2.8188926257563442e-05,1.0003043972148908
96,frozenset({'education_Partial College'}),frozenset({'product_id_Best Wheat Puffs'}),0.09341387231249772,0.0007839181322087046,0.0001093839254244704,0.0011709601873536302,1.4937276473685168,3.615509711887477e-05,1.0003874957972962,0.09271487039563438,0.0007094133697135061,0.00010914051841746248,0.0011771630370806356,1.6593471272694345,4.336734978754452e-05,1.0004683009339168
117,frozenset({'state_province_BC'}),frozenset({'product_id_Moms Sliced Chicken'}),0.08891697760060283,0.0007170724000048615,0.00010330704067866648,0.0011618370694368508,1.620250715867706,3.95471301494237e-05,1.0004452820145828,0.07961800818553888,0.000927694406548431,0.00016371077762619373,0.0020562028786840305,2.216465750110874,8.984959677194211e-05,1.001130833695636
1,frozenset({'state_province_BC'}),frozenset({'product_id_Nationeel Dried Apples'}),0.08891697760060283,0.0008386100949209398,0.00010330704067866648,0.0011618370694368508,1.3854317715390527,2.874036565294187e-05,1.0003236029484173,0.07961800818553888,0.0006002728512960436,0.00016371077762619373,0.0020562028786840305,3.425447068353169,0.00011591824883814857,1.0014589298832137
89,frozenset({'state_province_BC'}),frozenset({'product_id_Carlson Cheese Spread'}),0.08891697760060283,0.0007292261694964693,0.00010330704067866648,0.0011618370694368508,1.5932465372699107,3.8466453699775524e-05,1.0004331141079663,0.07961800818553888,0.0007639836289222374,0.00010914051841746248,0.0013708019191226869,1.7942817977088026,4.831366359631409e-05,1.0006076512597133
95,frozenset({'state_province_BC'}),frozenset({'product_id_Horatio Frosted Cookies'}),0.08891697760060283,0.000753533708479685,0.00010330704067866648,0.0011618370694368508,1.5418514876805587,3.6305100800479155e-05,1.0004087782947333,0.07961800818553888,0.0008731241473396999,0.00010914051841746248,0.0013708019191226869,1.5699965729952023,3.96241129075786e-05,1.0004983609258966
