sno,sna,tot,sarea,lat,lng,ar,sareaen,snaen,aren
0078,捷運圓山站(2號出口),52,大同區,25.071824,121.519287,承德路三段/庫倫街(東南側)(鄰近台北孔廟/花博公園圓山園區/花博圓山公園區-爭艷館/中山親子館),Datong Dist.,MRT Yuanshan Sta. (Exit 2),"The S.E. side of Sec. 3, Chengde Rd. & Kulun St."
0079,捷運民權西路站(3號出口),50,大同區,25.061285,121.520205,民權西路70巷37號對面,Datong Dist.,MRT Minquan W.Rd. Sta.(Exit 3),"The opposite of No.37, Ln. 70, Minquan W. Rd."
0080,華江高中,44,萬華區,25.02751,121.495869,東園街/東園街35巷(東北側),Wanhua Dist.,Huajiang High School,"The N.E. side of Dongyuan St. & Ln. 35, Dongyuan St."
0081,捷運台電大樓站(2號出口),40,大安區,25.020547,121.528552,羅斯福路/辛亥路交叉口(古亭國小前),Daan Dist.,MRT Taipower Building Sta. (Exit 2),The intersection of Roosevelt Rd. & Xinhai Rd. (Gu Ting Elementary School) 
0082,捷運西門站(3號出口),48,中正區,25.041778,121.508693 ,中華路一段/寶慶路(東南側)(鄰近國軍歷史文物館/中山堂/西門紅樓),Zhongzheng Dist.,MRT Ximen Sta.(Exit 3),"The S.E. side of Sec. 1, Zhonghua Rd. & Baoqing Rd."
0083,捷運大安森林公園站,52,大安區,25.033344,121.534236,信義路三段31巷/信義路三段(南側)(鄰近大安森林公園),Daan Dist.,MRT Daan Park Sta.,"The S. side of Ln. 31, Sec. 3, Xinyi Rd. & Sec. 3, Xinyi Rd."
0084,復華花園新城,28,萬華區,25.029705,121.502899,西藏路115號/西藏路(東南側),Wanhua Dist.,Fuhua Garden New Village(City),"The S.E. side of No.115, Xizang Rd. & Xizang Rd."
0085,信義敦化路口,34,大安區,25.033362,121.54911,信義路四段/敦化南路一段(東北側),Daan Dist.,Xinyi & Dunhua Intersection,"The N.E. side of Sec. 4, Xinyi Rd. & Sec. 1, Dunhua S. Rd."
0086,民權復興路口,26,松山區,25.062344,121.545138,復興北路/民權東路三段(東北側),Songshan Dist.,Minquan & Fuxing Intersection,"The N.E. side of Fuxing N. Rd. & Sec. 3, Minquan E. Rd."
0087,捷運大安站,48,大安區,25.033078,121.543057,復興南路/信義路三段(西南側),Daan Dist.,MRT Daan Sta.,The S.W. side of Fuxing S. Rd. & Sec. 3 Xinyi Rd.
0088,捷運象山站,38,信義區,25.032922, 121.57087,信義路五段/信義路五段91巷(西北側),Xinyi Dist.,MRT Xiangshan Sta.,"The N.W. side of Sec. 5, Xinyi Rd. & Ln. 91, Sec. 5, Xinyi Rd."
0089,和平重慶路口,44,中正區,25.027323,121.516385,重慶南路三段/和平西路一段(東北側),Zhongzheng Dist.,Heping Chongqing Intersection,"The N.E. side of Sec. 3, Chongqing S. Rd. & Sec. 1, Heping W. Rd."
0090,老松國小,44,萬華區,25.037783,121.501708,康定路/桂林路(東南側)(鄰近艋舺龍山寺/艋舺清水巖祖師廟/台北市鄉土教育中心(剝皮寮歷史街區)),Wanhua Dist.,Laosong Elementary School,The S.E. side of Kangding Rd. & Guilin Rd.
0091,市立美術館,36,中山區,25.070629,121.523268,中山北路三段/酒泉街(西南側)(鄰近台北市立美術館/花博公園美術園區/台北故事館/花博公園圓山園區/花博圓山公園區-爭艷館/中山親子館),Zhongshan Dist.,Taipei Fine Arts Museum,"The S.W. side of Sec. 3, Zhongshan N. Rd. & Jiuquan St."
0092,開封西寧路口,42,萬華區,25.046618,121.507169,開封街二段/西寧南路(東北側)(鄰近西門町),Wanhua Dist.,Kaifong & Xining Intersection,"The N.E. side of Sec. 2, Kaifeng St. & Xining S. Rd."
0093,吳興公車總站,36,信義區,25.023877,121.569836,松仁路/吳興街交叉口,Xinyi Dist.,Wu Xing Bus Station.,The intersection of Songren Rd. & Wuxing St.
0094,捷運景美站,52,文山區,24.993254,121.541059,羅斯福路六段/景中街交叉口(東北側)(鄰近景美夜市),Wenshan Dist.,MRT Jingmei Sta.,"The intersectionof Sec. 6, Roosevelt Rd. & Jingzhong St."
0095,東園國小,24,萬華區,25.023393,121.497679,東園街/萬大路344巷(東南側),Wanhua Dist.,Dongyuan Elementary School,"The S.E. side of Dongyuan St. & Ln. 344, Wanda Rd."
0096,三民公園,18,松山區,25.061567,121.566558,撫遠街/富錦街(東南側),Songshan Dist.,Sanmin Park,The S.E. side of Fuyuan St. & Fujin St.
0097,捷運劍潭站(2號出口),40,士林區,25.082825,121.524721,基河路18號對面(鄰近劍潭公園),Shilin Dist.,MRT Jiantan Sta.(Exit 2),"The opposite of No.18, Jihe Rd."
0098,羅斯福景隆街口,28,文山區,24.999378,121.540197,羅斯福路六段/景隆街交叉口(東南側),Wenshan Dist.,Roosevelt & Jinglong Intersection,"The intersection of Sec. 6, Roosevelt Rd. & Jinglong St. (the S.E. side)"
0099,捷運雙連站(2號出口),22,大同區,25.058210,121.520590,萬全街16號(對面廣場),Datong Dist.,MRT Shuanglian Sta. (Exit 2),The N.E. side of Minsheng W. Rd. & Wanquan St.
0100,金山市民路口,40,中正區,25.045753,121.530697,金山北路/市民大道三段(南側)(鄰近華山文化創意產業園區/光華數位新天地(光華商場)/三創生活園區),Zhongzheng Dist.,Jinshen & Civic Blvd. Intersection,"The S. side of Jinshan N. Rd. & Sec. 3, Civic Blvd."
0101,華山文創園區,50,中正區,25.043668,121.528487,忠孝東路二段41號前(鄰近華山文化創意產業園區/光華數位新天地(光華商場)/三創生活園區),Zhongzheng Dist.,Huashan 1914‧Creative Park,"Front of No.41, Sec. 2, Zhongxiao E. Rd."
0102,臺北市客家文化主題公園,32,中正區,25.02043,121.525322,師大路/汀州路交叉口(鄰近客家文化主題公園(原兒童交通博物館)),Zhongzheng Dist.,Taipei City Hakka Cultural Park,The intersection of Shida Rd. & Tingzhou Rd.
0103,萬華車站,46,萬華區,25.033639,121.503028,艋舺大道83號(對側),Wanhua Dist.,Wanhua Rail Sta.,"No.83, Bangka Blvd. (oppsite)"
0104,台北花木批發市場,32,文山區,25.004023,121.54074,萬盛街/興隆路一段(西北側),Wenshan Dist.,Taipei Pot Plant Auction,"The N.W. side of Wansheng St. Sec. 1, Xinglong Rd."
0105,峨嵋停車場,42,萬華區,25.044412,121.505409,昆明街/西寧南路50巷(東南側)(鄰近西門町/台北市電影主題公園/西門紅樓),Wanhua Dist.,Emei Parking Lot,"The S.E. side of Kunming St. & Ln. 50, Xining S. Rd. "
0106,西園艋舺路口,32,萬華區,25.032932,121.497674,西園路二段/艋舺大道(西南側),Wanhua Dist.,Xiyuan & Bangka Intersection,"The S.W. side of Sec. 2, Xiyuan Rd. & Bangka Blvd."
0107,捷運小南門站(1號出口),54,中正區,25.036402,121.509422,博愛路/愛國西路交叉口(西北側),Zhongzheng Dist.,MRT Xiaonanmen Sta. (Exit 1),The intersection of Bo’ai Rd. & Aiguo W. Rd.
0108,臺北孔廟,32,大同區,25.073306,121.515843,哈密街59巷/哈密街(東北側)(鄰近台北孔廟/保安宮),Datong Dist.,Taipei Confucius Temple,"The N.E. side of Ln. 59, Hami St. & Hami St."
0109,林安泰古厝,24,中山區,25.071606,121.530805,濱江街5號對面(鄰近林安泰古厝/花博公園新生園區),Zhongshan Dist.,Lin An-tai Historical House,"No.5, Binjiang St."
0110,文湖國小,28,內湖區,25.086376,121.560888,文湖街21巷/文湖街(東北側),Neihu Dist.,Wenhu Elementary School,"The N.E. side of Ln. 21, Wenhu St. & Wenhu St."
0111,捷運忠孝復興站(2號出口),54,大安區,25.040184,121.543497,復興南路一段/仁愛路三段123巷13弄(西北側),Daan Dist.,MRT Zhongxiao Fuxing Sta.(Exit 2),"The N.W. side of Sec. 1, Fuxing S. Rd. & Aly. 13, Ln. 123, Sec. 3, Ren’ai Rd."
0112,捷運新北投站,36,北投區,25.137456,121.503124,大業路/中和街交叉口(鄰近凱達格蘭文化館/北投復興公園),Beitou Dist.,MRT Xinbeitou Sta.,Daye Rd. & Zhonghe St.  Intersection
0113,仁愛逸仙路口,26,信義區,25.037724,121.561178,仁愛路四段/逸仙路(西北側)(鄰近國父紀念館/台北探索館),Xinyi Dist.,Renai & Yixian Intersection,"Sec. 4, Ren’ai Rd. & Yixian Rd."
0114,蘭雅公園,30,士林區,25.109908,121.530386,忠誠路二段/忠誠路二段40巷(西南側),Shilin Dist.,Lanya Park,"Sec. 2, Zhongcheng Rd. & Ln. 40, Sec. 2, Zhongcheng Rd."
0115,臺北轉運站,44,中正區,25.048222,121.520526,中山北路一段/市民大道一段(西北側)(鄰近台北當代藝術館/台北轉運站(京站時尚廣場)/國父史蹟紀念館(逸仙公園)/台北國際藝術村),Zhongzheng Dist.,Taipei Bus Sta.,"Sec. 1, Zhongshan N. Rd. & Sec. 1, Civic Blvd."
